DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 poema_aristizabal_30_16_decoded	 2.931	 0.000	 0	 8000	-6.3640
 poema_aristizabal_30_17_decoded	 1.996	 0.000	 0	 8000	-6.3520
 poema_aristizabal_30_18_decoded	 1.854	 0.000	 0	 8000	0.0120
 poema_aristizabal_30_19_decoded	 2.319	 0.000	 0	 8000	-6.3560
 poema_aristizabal_30_20_decoded	 0.157	 0.000	 0	 8000	-1.6000
 poema_aristizabal_30_21_decoded	 0.033	 0.000	 0	 8000	-6.3800
 poema_aristizabal_30_22_decoded	 2.493	 0.000	 0	 8000	0.0120
 poema_aristizabal_30_23_decoded	 2.005	 0.000	 0	 8000	-5.7640
 poema_aristizabal_30_24_decoded	 1.677	 0.000	 0	 8000	-5.5640
 poema_aristizabal_30_25_decoded	 1.957	 0.000	 0	 8000	-4.2240
 poema_aristizabal_30_26_decoded	 0.232	 0.000	 0	 8000	-5.5000
 poema_aristizabal_30_27_decoded	 0.052	 0.000	 0	 8000	-6.6680
 poema_aristizabal_30_28_decoded	 1.842	 0.000	 0	 8000	-5.5680
 poema_aristizabal_30_29_decoded	 1.635	 0.000	 0	 8000	-2.4040
 poema_aristizabal_30_30_decoded	 2.129	 0.000	 0	 8000	0.0120
 poema_aristizabal_30_31_decoded	 1.942	 0.000	 0	 8000	-5.4240
 poema_aristizabal_30_32_decoded	 3.183	 0.000	 0	 8000	-6.6640
 poema_aristizabal_30_33_decoded	 1.868	 0.000	 0	 8000	-6.3600
 poema_aristizabal_30_34_decoded	 4.045	 0.000	 0	 8000	-6.3520
 poema_aristizabal_30_35_decoded	 4.013	 0.000	 0	 8000	-6.6640
 poema_aristizabal_30_36_decoded	 1.826	 0.000	 0	 8000	-5.5680
 poema_aristizabal_30_37_decoded	 4.013	 0.000	 0	 8000	-6.6640
 poema_aristizabal_30_38_decoded	 2.129	 0.000	 0	 8000	-4.2400
 poema_aristizabal_30_39_decoded	 1.970	 0.000	 0	 8000	-5.5680
 poema_aristizabal_30_40_decoded	 2.094	 0.000	 0	 8000	-5.4080
 poema_aristizabal_30_41_decoded	 2.587	 0.000	 0	 8000	-6.3600
 poema_aristizabal_30_42_decoded	 2.692	 0.000	 0	 8000	-6.3480
 poema_aristizabal_30_43_decoded	 0.233	 0.000	 0	 8000	-5.4680
 poema_aristizabal_30_44_decoded	 2.654	 0.000	 0	 8000	-6.6680
 poema_aristizabal_30_45_decoded	 1.704	 0.000	 0	 8000	0.0040
 poema_aristizabal_30_46_decoded	 2.388	 0.000	 0	 8000	0.0120
 poema_aristizabal_30_47_decoded	 0.197	 0.000	 0	 8000	-5.5440
 poema_aristizabal_30_48_decoded	 0.222	 0.000	 0	 8000	-5.4760
 poema_aristizabal_30_49_decoded	 2.470	 0.000	 0	 8000	-6.3560
 poema_aristizabal_30_50_decoded	 1.729	 0.000	 0	 8000	-2.4000
 poema_aristizabal_40_1_decoded	 0.156	 0.000	 0	 8000	-1.6280
 poema_aristizabal_40_2_decoded	 2.486	 0.000	 0	 8000	-4.4880
 poema_aristizabal_40_3_decoded	 1.716	 0.000	 0	 8000	-5.5920
 poema_aristizabal_40_4_decoded	 0.154	 0.000	 0	 8000	-1.6040
 poema_aristizabal_40_5_decoded	 2.421	 0.000	 0	 8000	0.0120
 poema_aristizabal_40_6_decoded	 0.072	 0.000	 0	 8000	-6.6600
 poema_aristizabal_40_7_decoded	 1.990	 0.000	 0	 8000	-5.5160
 poema_aristizabal_40_8_decoded	 1.936	 0.000	 0	 8000	-5.5680
 poema_aristizabal_40_9_decoded	 2.367	 0.000	 0	 8000	0.0040
 poema_aristizabal_40_10_decoded	 0.203	 0.000	 0	 8000	-5.4040
 poema_aristizabal_40_11_decoded	 0.095	 0.000	 0	 8000	-1.5960
 poema_aristizabal_40_12_decoded	 1.761	 0.000	 0	 8000	-5.7480
 poema_aristizabal_40_13_decoded	 2.712	 0.000	 0	 8000	-6.3840
 poema_aristizabal_40_14_decoded	 4.022	 0.000	 0	 8000	-6.6640
 poema_aristizabal_40_15_decoded	 2.781	 0.000	 0	 8000	-6.6360
 poema_aristizabal_40_16_decoded	 1.769	 0.000	 0	 8000	-5.5280
 poema_aristizabal_40_17_decoded	 4.077	 0.000	 0	 8000	-6.3560
 poema_aristizabal_40_18_decoded	 0.234	 0.000	 0	 8000	-5.5000
 poema_aristizabal_40_19_decoded	 0.135	 0.000	 0	 8000	-5.5640
 poema_aristizabal_40_20_decoded	 1.729	 0.000	 0	 8000	-5.7600
 poema_aristizabal_40_21_decoded	 2.610	 0.000	 0	 8000	-6.3360
 poema_aristizabal_40_22_decoded	 0.044	 0.000	 0	 8000	-8.4600
 poema_aristizabal_40_23_decoded	 0.156	 0.000	 0	 8000	-1.6280
 poema_aristizabal_40_24_decoded	 0.186	 0.000	 0	 8000	-1.6280
 poema_aristizabal_40_25_decoded	 3.021	 0.000	 0	 8000	-6.6280
 poema_aristizabal_40_26_decoded	 2.026	 0.000	 0	 8000	-5.7640
 poema_aristizabal_40_27_decoded	 0.176	 0.000	 0	 8000	-1.6040
 poema_aristizabal_40_28_decoded	 2.548	 0.000	 0	 8000	-6.3480
 poema_aristizabal_40_29_decoded	 -0.033	 0.000	 0	 8000	-6.3440
 poema_aristizabal_40_30_decoded	 2.651	 0.000	 0	 8000	-6.6360
 poema_aristizabal_40_31_decoded	 0.132	 0.000	 0	 8000	-5.5840
 poema_aristizabal_40_32_decoded	 0.690	 0.000	 0	 8000	-1.5960
 poema_aristizabal_40_33_decoded	 1.883	 0.000	 0	 8000	-6.0720
 poema_aristizabal_40_34_decoded	 2.020	 0.000	 0	 8000	-5.4960
 poema_aristizabal_40_35_decoded	 0.184	 0.000	 0	 8000	-1.6280
 poema_aristizabal_40_36_decoded	 2.773	 0.000	 0	 8000	-6.0800
 poema_aristizabal_40_37_decoded	 2.232	 0.000	 0	 8000	-6.1280
 poema_aristizabal_40_38_decoded	 0.156	 0.000	 0	 8000	-1.6280
 poema_aristizabal_40_39_decoded	 1.651	 0.000	 0	 8000	-5.7520
 poema_aristizabal_40_40_decoded	 2.019	 0.000	 0	 8000	-6.3640
 poema_aristizabal_40_41_decoded	 3.428	 0.000	 0	 8000	-6.6640
